name,breed_group,adaptability,friendliness,health_and_needs,trainability,physical_needs,height_od,height_do,weight_od,weight_do,life_od,life_do
northern-inuit-dog,Hybrid Dogs,3,4,3,4,5,58,81,24,49,12,15
norwegian-buhund,Herding Dogs,3,4,3,3,5,40,45,11,18,12,15
norwegian-elkhound,Hound Dogs,4,4,3,4,4,48,50,,,12,15
norwegian-lundehund,Working Dogs,3,5,3,3,5,,,5,7,10,12
norwich-terrier,Terrier Dogs,4,5,3,4,5,25,25,5,5,10,14
nova-scotia-duck-tolling-retriever,Sporting Dogs,4,5,3,4,5,,,15,22,10,14
old-english-sheepdog,Herding Dogs,4,4,3,3,4,53,53,,,10,12
otterhound,Hound Dogs,3,5,3,4,5,60,68,,,10,12
papillon,Companion Dogs,3,4,2,3,4,20,27,1,4,12,16
papipoo,Mixed Breed Dogs,4,4,2,3,5,25,27,2,6,10,14
patterdale-terrier,Terrier Dogs,3,4,3,4,4,30,38,4,5,11,14
peekapoo,Hybrid Dogs,4,4,2,3,3,27,27,1,9,10,15
pekingese,Companion Dogs,3,3,2,4,2,15,22,3,6,12,15
pembroke-welsh-corgi,Herding Dogs,4,4,3,4,4,25,30,13,13,12,14
petit-basset-griffon-vendeen,Hound Dogs,3,5,3,4,5,33,38,13,18,14,14
pharaoh-hound,Hound Dogs,4,5,3,4,3,53,63,20,24,11,14
pitsky,Mixed Breed Dogs,2,5,3,4,5,40,63,13,36,12,16
plott,Hound Dogs,2,4,3,4,4,50,68,18,34,12,14
pocket-beagle,Hound Dogs,3,5,3,4,4,17,30,3,6,10,10
pointer,Sporting Dogs,2,5,3,5,5,,,20,34,12,15
polish-lowland-sheepdog,Herding Dogs,4,4,2,3,4,43,50,15,24,10,12
pomapoo,Mixed Breed Dogs,3,4,2,3,3,20,25,2,6,12,15
pomchi,Mixed Breed Dogs,3,3,3,4,4,15,25,1,5,12,18
pomeagle,Mixed Breed Dogs,3,4,3,3,4,15,27,2,11,12,15
pomeranian,Companion Dogs,3,3,3,3,3,17,30,1,3,12,16
pomsky,Mixed Breed Dogs,3,3,3,4,3,25,38,3,17,12,15
poochon,Mixed Breed Dogs,4,5,2,3,4,22,38,2,7,12,15
poodle,Companion Dogs,4,5,2,4,4,25,55,2,31,12,15
portuguese-podengo-pequeno,Hound Dogs,3,4,3,4,4,20,30,4,5,12,15
portuguese-sheepdog,Herding Dogs,3,4,3,3,4,40,55,16,26,12,13
portuguese-water-dog,Working Dogs,3,5,2,4,5,,,15,27,10,14
pug,Companion Dogs,3,4,3,2,4,25,35,6,8,12,15
pugalier,Mixed Breed Dogs,4,5,3,3,4,25,35,4,9,12,15
puggle,Hybrid Dogs,4,5,3,3,3,33,38,8,13,10,15
puginese,Mixed Breed Dogs,4,3,3,2,3,15,35,3,8,12,14
puli,Herding Dogs,3,4,2,4,5,40,43,11,15,10,15
pyredoodle,Mixed Breed Dogs,3,4,3,4,4,38,81,38,45,10,12
pyrenean-mastiff,Working Dogs,3,3,4,3,4,60,78,58,90,10,13
pyrenean-shepherd,Herding Dogs,3,4,2,3,5,38,53,11,13,15,17
rat-terrier,Terrier Dogs,3,4,3,4,5,33,40,,,13,18
redbone-coonhound,Hound Dogs,3,4,3,4,5,53,68,20,31,10,12
rhodesian-ridgeback,Hound Dogs,3,4,4,3,5,60,68,31,38,10,12
rottador,Mixed Breed Dogs,3,4,4,4,5,60,68,31,52,10,12
rottle,Mixed Breed Dogs,3,4,3,3,4,30,68,27,40,9,15
rottweiler,Working Dogs,2,4,4,4,4,55,68,38,58,8,11
saint-berdoodle,Mixed Breed Dogs,3,5,3,3,3,38,76,18,81,8,12
saint-bernard,Working Dogs,3,5,4,2,3,,,54,81,8,10
saluki,Hound Dogs,2,4,3,4,4,58,71,15,31,12,14
samoyed,Working Dogs,3,5,3,4,4,,,22,27,12,14
samusky,Mixed Breed Dogs,3,4,3,3,4,50,60,20,27,12,15
schipperke,Companion Dogs,3,3,3,3,5,25,38,4,8,13,15
schnoodle,Hybrid Dogs,3,4,3,3,4,25,66,9,34,10,15
scottish-deerhound,Hound Dogs,3,4,3,3,5,71,81,34,49,8,11
scottish-terrier,Terrier Dogs,3,4,2,3,4,25,25,8,9,11,13
